id,name,fan_name,game,case_acronym,victim_count,playable_characters,event_date_low,event_date_high,related_incidents
0,The First Turnabout,,PW_AA,1-1,1,Phoenix Wright,2016-08-03,2016-08-03,
1,Turnabout Sisters,,PW_AA,1-2,1,Phoenix Wright,2016-09-05,2016-09-09,
2,Turnabout Samurai,,PW_AA,1-3,1,Phoenix Wright,2016-10-15,2016-10-20,
3,Turnabout Goodbyes,,PW_AA,1-4,2,Phoenix Wright,2016-12-25,2016-12-28,DL-6
4,Rise from the Ashes,,PW_AA,1-5,1,Phoenix Wright,2017-02-21,2017-02-25,"SL-9, AI-16"
5,The Lost Turnabout,,PW_JFA,2-1,1,Phoenix Wright,,,
6,Reunion; and Turnabout,,PW_JFA,2-2,1,Phoenix Wright,,,
7,Turnabout Big Top,,PW_JFA,2-3,1,Phoenix Wright,,,
8,Farewell; my Turnabout,,PW_JFA,2-4,1,Phoenix Wright,,,
9,Turnabout Memories,,PW_TT,3-1,1,Mia Fey,,,
10,The Stolen Turnabout,,PW_TT,3-2,1,Phoenix Wright,,,
11,Recipe for a Turnabout,,PW_TT,3-3,1,Phoenix Wright,,,
12,Turnabout Beginnings,,PW_TT,3-4,1,Mia Fey,,,
13,Bridge to the Turnabout,,PW_TT,3-5,1,Miles Edgeworth; Phoenix Wright,,,
14,Turnabout Trump,,AJ_AA,4-1,1,Apollo Justice,,,
15,Turnabout Corner,,AJ_AA,4-2,1,Apollo Justice,,,
16,Turnabout Serenade,,AJ_AA,4-3,1,Apollo Justice,,,
17,Turnabout Succession,,AJ_AA,4-4,2,Apollo Justice; Phoenix Wright,2019-04-19,2026-04-20,
18,Turnabout Visitor,,AAI,I-1,1,Miles Edgeworth,,,
19,Turnabout Airlines,,AAI,I-2,1,Miles Edgeworth,,,
20,The Kidnapped Turnabout,,AAI,I-3,1,Miles Edgeworth,,,
21,Turnabout Reminiscence,,AAI,I-4,2,Miles Edgeworth,,,"KG-8, KG-8-2"
22,Turnabout Ablaze,,AAI,I-5,2,Miles Edgeworth,,,"KG-8, KG-8-2"
23,Turnabout Trigger,Turnabout Target,AAI2,I2-1,1,Miles Edgeworth,,,
24,The Captive Turnabout,The Imprisoned Turnabout,AAI2,I2-2,1,Miles Edgeworth; Dick Gumshoe,,,
25,Turnabout Legacy,The Inherited Turnabout,AAI2,I2-3,1,Miles Edgeworth; Gregory Edgeworth,,,IS-7
26,A Turnabout Forsaken,The Forgotten Turnabout,AAI2,I2-4,1,Miles Edgeworth,,,IS-7
27,Turnabout for the Ages,The Grand Turnabout,AAI2,I2-5,2,Miles Edgeworth; Eustace Winner,,,"IS-7, SS-5"
28,,,PL_VS_PW,VS-1,,,,,
29,,,PL_VS_PW,VS-2,,,,,
30,,,PL_VS_PW,VS-3,,,,,
31,,,PL_VS_PW,VS-4,,,,,
32,,,PL_VS_PW,VS-5,,,,,
33,,,PL_VS_PW,VS-6,,,,,
34,,,PL_VS_PW,VS-7,,,,,
35,,,PL_VS_PW,VS-8,,,,,
36,,,PL_VS_PW,VS-9,,,,,
37,,,PL_VS_PW,VS-10,,,,,
38,,,PL_VS_PW,VS-11,,,,,
39,Turnabout Countdown,,PW_DD,5-1,1,Phoenix Wright; Athena Cykes,,,
40,The Monstrous Turnabout,,PW_DD,5-2,1,Apollo Justice,,,
41,Turnabout Academy,,PW_DD,5-3,1,Athena Cykes,,,
42,The Cosmic Turnabout,,PW_DD,5-4,1,Athena Cykes,,,UR-1
43,Turnabout for Tomorrow,,PW_DD,5-5,1,Phoenix Wright,,,UR-1
44,Turnabout Reclaimed,,PW_DD,5-6,1,Phoenix Wright,,,
45,The Adventure of the Great Departure,,TGAA,G-1,,,,,
46,The Adventure of the Unbreakable Speckled Band,,TGAA,G-2,,,,,
47,The Adventure of the Runaway Room,,TGAA,G-3,,,,,
48,The Adventure of the Clouded Kokoro,,TGAA,G-4,,,,,
49,The Adventure of the Unspeakable Story,,TGAA,G-5,,,,,
50,The Foreign Turnabout,,PW_SOJ,6-1,,Phoenix Wright,,,
51,The Magical Turnabout,,PW_SOJ,6-2,,,,,
52,The Rite of Turnabout,,PW_SOJ,6-3,,,,,
53,Turnabout Storyteller,,PW_SOJ,6-4,,,,,
54,Turnabout Revolution,,PW_SOJ,6-5,,,,,
55,Turnabout Time Traveler,,PW_SOJ,6-6,,,,,
56,The Adventure of the Blossoming Attorney,,TGAA2,G2-1,,,,,
57,The Memoirs of the Clouded Kokoro,,TGAA2,G2-2,,,,,
58,The Return of the Great Departed Soul,,TGAA2,G2-3,,,,,
59,Twisted Karma and His Last Bow,,TGAA2,G2-4,,,,,
60,The Resolve of Ryunosuke Naruhodo,,TGAA2,G2-5,,,,,